gradient_step,elapsed_time_seconds,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
1,0.32527839997783303,-286.399169921875,-346.15582275390625,198.17298889160156,0.02436063252389431,1089301.875,0.0,0.7941851615905762,0.0,0.0,316.47686767578125,2092.844970703125
100,0.9235749000217766,-286.399169921875,-346.15582275390625,198.17298889160156,0.44371476769447327,1131955.25,1.26393723487854,0.8450474143028259,1.3613519668579102,0.8984375,1291.5855712890625,17708.1796875
200,1.5591637000907212,-287.9810485839844,-357.47381591796875,201.4819793701172,0.32284101843833923,1090484.5,1.472719430923462,0.9010476469993591,3.263546943664551,0.9453125,1565.0648193359375,15679.052734375
300,2.1827316998969764,-282.6020202636719,-342.619873046875,196.62576293945312,0.5168824195861816,1075719.5,0.809535026550293,0.958420991897583,4.4482879638671875,0.99609375,815.1317749023438,18709.1328125
400,2.8548123000655323,-284.8560485839844,-349.4427795410156,202.74070739746094,0.23130249977111816,987097.8125,0.5489502549171448,0.9942353963851929,1.0210200548171997,0.91796875,1049.6790771484375,16359.6416015625
500,3.53893949999474,-288.4261169433594,-358.41912841796875,202.27175903320312,0.21822845935821533,1128666.625,0.825584888458252,1.0411052703857422,0.512586236000061,0.7890625,880.8323974609375,19568.4140625
600,4.19580450002104,-287.9317932128906,-357.069580078125,197.43716430664062,0.4183865189552307,1111860.25,1.6620187759399414,1.08024263381958,1.5778896808624268,0.9375,833.7680053710938,20995.15234375
700,4.9912894000299275,-284.523681640625,-356.7969970703125,195.56448364257812,0.28446635603904724,983451.25,1.966098427772522,1.1575605869293213,3.7834315299987793,0.96484375,1106.4556884765625,18590.775390625
800,6.042548900004476,-280.5301818847656,-348.8282775878906,203.41107177734375,0.40523290634155273,1038528.75,1.3711483478546143,1.2386462688446045,7.646206378936768,0.9921875,492.82794189453125,20563.380859375
900,7.071657400112599,-291.45880126953125,-358.87152099609375,201.0892791748047,0.44870123267173767,1113496.5,0.5481842160224915,1.2783764600753784,1.8796067237854004,0.93359375,215.31922912597656,21116.2578125
1000,7.944561500102282,-287.7757263183594,-356.4686584472656,202.74070739746094,0.1871887445449829,1094211.875,0.8712494373321533,1.3036060333251953,0.12304338067770004,0.5390625,348.4037780761719,19947.228515625
1100,8.722634200006723,-286.2718200683594,-357.13275146484375,198.2382354736328,0.2803937792778015,1039837.1875,0.5429309606552124,1.3163970708847046,1.038889765739441,0.93359375,171.72720336914062,20494.9453125
